Symbol,logFC,PValue,FDR,
dnd,-0.685194736,0.192717536,0.540598188,
Cht3,-0.684826734,0.192004585,0.539636862,
snoRNA:Psi18S-525d,-0.68441309,0.528806317,0.825566587,
CG4115,-0.684321974,0.349543811,0.665409575,
CG13215,-0.684091619,0.477039659,0.781073174,
Gmer,-0.682572945,0.07190968,0.347143333,
CG9850,-0.681440387,0.224847582,0.577201459,
htl,-0.681026858,0.420519181,0.735079945,
CG42263,-0.680856533,0.583162191,0.868490305,
CG32409,-0.680619087,0.075108013,0.353752959,
CG17839,-0.679117845,0.496541233,0.797109331,
CG4404,-0.678914948,0.024586238,0.198712245,
CG45076,-0.67849466,0.540745755,0.834890824,
Nrk,-0.678469586,0.118382761,0.446428081,
CG32109,-0.677553639,0.032185478,0.228181602,
Ranbp21,-0.677506963,0.154695962,0.503882506,
noc,-0.677099596,0.066017863,0.333668711,
CG9451,-0.676759434,0.619066249,0.896536284,
ppk9,-0.676691602,0.572926159,0.860631191,
CG33966,-0.676055299,0.494069413,0.794911632,
CG6218,-0.675699775,0.014368531,0.150430442,
CG7208,-0.675490018,0.584050943,0.869366042,
GluRIIE,-0.675175738,0.060669419,0.318645185,
Eip74EF,-0.674951952,0.03027885,0.221701998,
tomboy40,-0.674501251,0.386498544,0.702213136,
wtrw,-0.674477665,0.171383393,0.526708054,
CG13741,-0.674174852,0.244782958,0.60427014,
Slh,-0.674050391,0.06766855,0.335655965,
CG13857,-0.673165587,0.51322049,0.811647627,
fy,-0.672651599,0.157199138,0.503956718,
CG12716,-0.672634811,0.526741676,0.823961356,
CG3823,-0.672139736,0.446130477,0.756307264,
mtrm,-0.671747255,0.512955732,0.811626431,
CG43316,-0.671554866,0.630107239,0.901847431,
CR45022,-0.671554866,0.630107239,0.901847431,
CR44782,-0.671417186,0.572479455,0.860331714,
Max,-0.671322612,0.014298518,0.149961938,
smt3,-0.671319742,0.044703764,0.272049,
CR45372,-0.671292226,0.240073292,0.597620534,
28SrRNA-Psi:CR40741,-0.670333567,0.293854206,0.657780105,
Trf2,-0.67032289,0.028127968,0.212823562,
Cyp6a13,-0.670255131,0.058642031,0.312412159,
CG15252,-0.668525225,0.588655866,0.873395919,
robo,-0.668144956,0.033249797,0.231606399,
CG11251,-0.66788131,0.589083127,0.873549333,
TotA,-0.666542128,0.416702249,0.731592285,
CG10311,-0.666279148,0.163301499,0.514441155,
Mur89F,-0.666109521,0.109931539,0.428600672,
ft,-0.665775127,0.192342457,0.539979065,
CG8834,-0.665555566,0.504095959,0.80424705,
CG6652,-0.665555136,0.385175273,0.70086512,
dpr19,-0.66551401,0.212027783,0.562609602,
tyf,-0.665215315,0.032892957,0.230487906,
CG8777,-0.664761451,0.100481902,0.404937436,
CG11671,-0.663990931,0.190239769,0.537251496,
CG34109,-0.663876977,0.5621478,0.852560297,
CG16853,-0.662270843,0.49317903,0.793967267,
CR44514,-0.662150168,0.469413218,0.773728884,
CG31464,-0.661699585,0.380161315,0.696159712,
Gycbeta100B,-0.661531601,0.170780564,0.525504222,
Rpd3,-0.660783681,0.084821715,0.377609223,
up,-0.659635689,0.304731049,0.657780105,
CG32428,-0.659459386,0.025810023,0.204353689,
CG34112,-0.65867831,0.086995193,0.382456639,
CG17764,-0.657500353,0.350492631,0.666359535,
Gr47b,-0.657125258,0.259679408,0.62355032,
CG15141,-0.656965477,0.023400868,0.194800238,
CG6115,-0.656719981,0.030692698,0.223486799,
CG6481,-0.656644827,0.597767559,0.881307431,
unc79,-0.656099336,0.102227484,0.409339498,
CR45129,-0.655604031,0.382452776,0.698746376,
CG42564,-0.654571442,0.303402004,0.657780105,
CG33181,-0.654434408,0.051534634,0.290930901,
fs(1)K10,-0.654346547,0.079973163,0.365481019,
CR33318,-0.654103545,0.344301343,0.660216039,
CG1324,-0.653806035,0.594749684,0.878932993,
snoRNA:CG43051-a,-0.653734313,0.050248081,0.28754478,
CG5916,-0.652992982,0.070676234,0.34399894,
CG8635,-0.651233602,0.058304933,0.311161207,
CG1665,-0.650843715,0.033287598,0.231606399,
CG11982,-0.6507314,0.072218936,0.347535726,
Vha100-1,-0.650542323,0.026387017,0.207047519,
CG16852,-0.650132972,0.629660806,0.901503561,
Cyp4p1,-0.649896844,0.101910346,0.408810083,
CR45892,-0.649888991,0.097161599,0.401180751,
CG33679,-0.649753974,0.178290426,0.532100256,
CG11284,-0.649663247,0.030866744,0.224106037,
Ppcdc,-0.649320622,0.258356813,0.621805513,
CG42496,-0.649320622,0.258356813,0.621805513,
grim,-0.648441403,0.255944285,0.61882676,
CG2816,-0.647396294,0.448172806,0.758079534,
Kdm2,-0.647258109,0.024850392,0.19973959,
ytr,-0.647062212,0.020470229,0.180139107,
beta-Spec,-0.646730298,0.067518428,0.335496655,
CG8813,-0.646115959,0.489554987,0.791604158,
CR45901,-0.645579971,0.605646053,0.887610982,
CG32069,-0.645352103,0.198505926,0.549172516,
CG15561,-0.644783962,0.119886448,0.450249941,
CG33469,-0.644659707,0.457802952,0.764240637,
CR44978,-0.644550758,0.516881304,0.814933522,
CG12042,-0.644494994,0.07709638,0.358430539,
kune,-0.644396446,0.077290512,0.358757621,
Optix,-0.644250811,0.243143643,0.601525823,
jigr1,-0.644064088,0.111508886,0.432245215,
Lam,-0.644059477,0.029331577,0.217376811,
tun,-0.644019056,0.036680945,0.245027525,
CG4194,-0.643916673,0.48365552,0.78718819,
CalpC,-0.64376138,0.152385216,0.500040793,
CG31021,-0.643063422,0.612308618,0.89162249,
modSP,-0.642541461,0.589108884,0.873549333,
AstA-R1,-0.642314461,0.292385988,0.657780105,
CG32944,-0.642244144,0.309869541,0.657780105,
CG43935,-0.642137698,0.299884464,0.657780105,
CG32259,-0.641919335,0.640369035,0.905786852,
CG18568,-0.64158806,0.311960133,0.657780105,
RhoGAP18B,-0.64146692,0.041622225,0.262143579,
rho-5,-0.640855225,0.177031917,0.530669218,
RhoGAP5A,-0.640602653,0.046954767,0.277734066,
Mlp84B,-0.639708467,0.331563236,0.657780105,
trsn,-0.639296846,0.022213737,0.189127647,
Gal,-0.639269232,0.20017297,0.550860465,
CG42495,-0.638983117,0.025759354,0.204229874,
CG8388,-0.638911514,0.145786874,0.489031919,
CG32432,-0.638778047,0.280961746,0.65324887,
CG34334,-0.638275163,0.504444882,0.804544593,
CG44836,-0.638174825,0.323111299,0.657780105,
CG32100,-0.638162276,0.066737746,0.33536212,
Atf3,-0.637988463,0.032947311,0.230661991,
Cbp53E,-0.637906319,0.288527888,0.657780105,
CR45980,-0.6375946,0.628440765,0.900420167,
ZnT86D,-0.637507584,0.052775549,0.293414541,
CG14456,-0.637112137,0.464682826,0.769747042,
ninaG,-0.636713337,0.643821334,0.908778858,
SuUR,-0.635978737,0.034856052,0.237580809,
CG45101,-0.635978737,0.034856052,0.237580809,
stops,-0.635785094,0.403639431,0.720961361,
CR45267,-0.63566611,0.543856627,0.83780779,
CG13957,-0.635292071,0.123632211,0.451669751,
lectin-24Db,-0.634932065,0.49985464,0.800151835,
Lcch3,-0.634498313,0.0982691,0.403911567,
CG32581,-0.634335611,0.094610673,0.395303554,
Khc,-0.633947155,0.040870664,0.25946567,
CG3342,-0.633799401,0.081796158,0.369667909,
CG33235,-0.633721282,0.149258681,0.494138622,
CG10445,-0.633645452,0.203904342,0.556211267,
hid,-0.633639876,0.157741162,0.504643013,
Syx18,-0.633382084,0.027142587,0.210104047,
CG3655,-0.633326173,0.190147267,0.537206521,
CR44058,-0.63303827,0.620011226,0.89669494,
hrg,-0.632919433,0.089109978,0.385203539,
CG7492,-0.632857735,0.036719105,0.245027525,
CG32599,-0.632592332,0.532583182,0.828873453,
Cyp9c1,-0.632177301,0.057741545,0.309556485,
CR43787,-0.631851471,0.057864229,0.309778198,
CG30485,-0.631427072,0.107366549,0.422556469,
Sh3beta,-0.630845275,0.04517471,0.273539375,
CG1678,-0.63041503,0.688870747,0.929656587,
CG5367,-0.630079047,0.30149068,0.657780105,
CG17341,-0.629427946,0.49489854,0.795713868,
CR45822,-0.629355936,0.122083404,0.451669751,
GstS1,-0.629239668,0.105056521,0.416653565,
CG1492,-0.628850133,0.07517659,0.353878165,
obst-E,-0.628360658,0.381254841,0.697796899,
Bmcp,-0.627558549,0.080659196,0.367229848,
X11Lbeta,-0.62744783,0.134623305,0.467276938,
Caper,-0.62741992,0.056886006,0.306777383,
melt,-0.627387525,0.227732912,0.581437258,
NELF-B,-0.627146069,0.279843678,0.651813282,
stnB,-0.627066021,0.108572192,0.425505443,
stnA,-0.627066021,0.108572192,0.425505443,
CG12817,-0.627021981,0.338572262,0.657780105,
Or67b,-0.626915377,0.270048314,0.63826284,
snoRNA:Me28S-G3255b,-0.626089991,0.441552834,0.751753049,
CR44833,-0.625657827,0.516152873,0.814390054,
shd,-0.625314285,0.382169605,0.698666917,
B4,-0.625008824,0.111799555,0.432700645,
CG7695,-0.62500441,0.682195257,0.925575599,
CR44613,-0.62500441,0.682195257,0.925575599,
CG30379,-0.624991304,0.527016281,0.823976158,
CG4164,-0.624924248,0.263578085,0.629348901,
CG12464,-0.62483628,0.306765996,0.657780105,
kn,-0.624707751,0.369330848,0.686114073,
mt:tRNA:C,-0.624375189,0.325362665,0.657780105,
CG9149,-0.62382805,0.157742229,0.504643013,
CG31016,-0.623576581,0.532206725,0.828434996,
CG42577,-0.623509485,0.624108362,0.898323624,
tap,-0.622717235,0.353248462,0.669083345,
g,-0.622647739,0.029928161,0.220076749,
cnk,-0.622476289,0.034050237,0.234497029,
CG14798,-0.621844951,0.088863351,0.38469584,
Crtc,-0.621541484,0.032754773,0.229893381,
CG5381,-0.621535838,0.026205108,0.206268828,
CR44898,-0.621261594,0.075039052,0.353660207,
CG42557,-0.620946043,0.025982791,0.205164344,
CG42558,-0.620946043,0.025982791,0.205164344,
CG15373,-0.620901085,0.412406905,0.728568909,
CG10996,-0.620688853,0.59382141,0.877932076,
CR44958,-0.620568613,0.592472283,0.876604368,
pgant8,-0.620511002,0.305794458,0.657780105,
APC10,-0.619967626,0.057697943,0.309456306,
CR44419,-0.619214371,0.598339043,0.881630148,
fabp,-0.619030969,0.052451734,0.292974785,
CG13773,-0.618941186,0.096420743,0.399529321,
CG31098,-0.618709927,0.166833387,0.52014227,
Pkc98E,-0.61758104,0.027875043,0.212679144,
CG3797,-0.617107444,0.066027868,0.333668711,
CG42795,-0.616469552,0.199068898,0.549948191,
drl,-0.616201346,0.102601691,0.409891179,
CG10183,-0.616013682,0.589865739,0.874078774,
CG9436,-0.615690019,0.041255332,0.260866148,
Erk7,-0.615516528,0.511708989,0.810777402,
caps,-0.614623717,0.08352027,0.374387295,
LamC,-0.61400652,0.032548835,0.229548031,
CG31917,-0.613517135,0.087901566,0.383585916,
Tfb5,-0.613517135,0.087901566,0.383585916,
CG10376,-0.613206651,0.149466171,0.494420325,
CG3558,-0.612968104,0.045772327,0.27503791,
CG8237,-0.612481586,0.070234545,0.342918004,
CG12147,-0.612457185,0.621699909,0.896964204,
TM4SF,-0.612372881,0.203684427,0.556211267,
X11L,-0.612130732,0.049212767,0.285104771,
CR44054,-0.612077509,0.144948682,0.487810748,
Prestin,-0.611750154,0.048782222,0.283549706,
CG5961,-0.611314193,0.094534278,0.395250286,
Gyk,-0.610873091,0.090555816,0.389049674,
CG11999,-0.610827466,0.097677118,0.402823108,
Sec22,-0.610765875,0.040444803,0.258422737,
CG8245,-0.610725636,0.453886637,0.761265562,
CG5715,-0.609852868,0.268963901,0.637238482,
CG2918,-0.609845051,0.111880324,0.432787341,
CG33920,-0.60982697,0.449101642,0.758623501,
Keap1,-0.609548109,0.187191166,0.533829039,
CG4221,-0.608722199,0.644060287,0.908949764,
CG5830,-0.607919756,0.040621233,0.258633188,
tRNA:CR30249,-0.607909456,0.630534647,0.902019467,
twe,-0.607505737,0.131006221,0.460964303,
CG3121,-0.607469273,0.349720733,0.665572972,
sw,-0.607329635,0.305028746,0.657780105,
y,-0.607259256,0.654647472,0.915724728,
Sra-1,-0.607224499,0.02914252,0.216710323,
CG4022,-0.606933527,0.035634687,0.240063548,
ergic53,-0.606328766,0.070836927,0.344199463,
CG5458,-0.606212988,0.077748131,0.359834564,
CG12204,-0.605707413,0.046873042,0.277525221,
CG7131,-0.605655427,0.176795795,0.530502982,
scro,-0.605404866,0.236823297,0.59401111,
Crc,-0.605118593,0.040467357,0.258422737,
CG6329,-0.604868751,0.1329862,0.464427359,
Sgs3,-0.60423667,0.602764532,0.884937008,
Naa60,-0.603843858,0.035178331,0.238199382,
CG34443,-0.603586462,0.632532951,0.902720951,
CR44691,-0.603586462,0.632532951,0.902720951,
CG7328,-0.603195005,0.115514466,0.441992565,
MP1,-0.603074923,0.058819269,0.312685697,
CG18549,-0.602590351,0.03670582,0.245027525,
Klp54D,-0.602461885,0.459883,0.766179621,
CR45537,-0.60242362,0.511921886,0.810933984,
Bacc,-0.602162902,0.040971317,0.259727856,
CG13339,-0.602151173,0.084743945,0.377609223,
ppk10,-0.60186891,0.578046435,0.864588753,
CR44137,-0.601686,0.42717582,0.740392934,
CG17173,-0.601675385,0.338937637,0.657780105,
laccase2,-0.601416051,0.118581951,0.446835593,
kappaB-Ras,-0.601403586,0.088273424,0.383673504,
CG30503,-0.601403586,0.088273424,0.383673504,
CG3270,-0.601254145,0.10759615,0.423199333,
CG11099,-0.600871379,0.39245142,0.708575961,
CG5535,-0.600834718,0.309330814,0.657780105,
CR44453,-0.600797108,0.408041577,0.724238601,
Mp,-0.600242859,0.219986114,0.5684085,
htt,-0.599386097,0.065317717,0.331709311,
Tbh,-0.598897106,0.280064211,0.652143227,
CG30172,-0.598848153,0.256800112,0.619800095,
CG34234,-0.59856325,0.238641029,0.596094185,
CG34230,-0.598391374,0.658307557,0.915724728,
CR44431,-0.598204029,0.140409993,0.477945928,
Gr59f,-0.598091166,0.371384854,0.688522482,
CG33288,-0.598037551,0.474599531,0.778462515,
CG31205,-0.59794283,0.467389466,0.772277171,
CG2010,-0.597710099,0.288761608,0.657780105,
Sema-2b,-0.597211407,0.124597835,0.451669751,
Piezo,-0.597043927,0.162448205,0.512948025,
CG42678,-0.596756678,0.071495111,0.346089626,
CG13625,-0.596305508,0.127019215,0.454029445,
CG10898,-0.596189193,0.095638758,0.397812565,
CG9509,-0.59610623,0.307872197,0.657780105,
Vml,-0.596019443,0.667313756,0.918726811,
CR17024,-0.595915871,0.359088874,0.675754725,
CG32572,-0.595728653,0.314092016,0.657780105,
lea,-0.59555507,0.080777102,0.367284959,
CG18371,-0.595369335,0.645862255,0.910244226,
CG15394,-0.595369335,0.645862255,0.910244226,
Map205,-0.595258229,0.061135675,0.319464827,
mir-283,-0.594627497,0.194080027,0.542889527,
CG42450,-0.594338214,0.088683879,0.384406701,
CG7720,-0.5941423,0.438858872,0.748946579,
CG34025,-0.593792876,0.494790223,0.795612854,
CG30116,-0.593742683,0.286765355,0.657780105,
Ca-beta,-0.593548596,0.226037608,0.579010542,
Plc21C,-0.59264844,0.082531437,0.371587969,
CR45916,-0.592369616,0.538025197,0.83311737,
fdl,-0.592304696,0.073234251,0.350302735,
Rpn13R,-0.59149639,0.532996832,0.829222078,
CR45753,-0.591203989,0.324174257,0.657780105,
Baldspot,-0.591100865,0.048285754,0.281975907,
sm,-0.591063306,0.105436418,0.417780461,
CG13920,-0.590865667,0.13878403,0.474459086,
CG34398,-0.590562034,0.244285675,0.603468426,
mei-41,-0.590078871,0.131528759,0.461761357,
CG14512,-0.58974781,0.164627127,0.516842142,
sl,-0.589739913,0.04597553,0.27503791,
CG10516,-0.589734674,0.103698083,0.413232962,
CG4951,-0.589608864,0.049796135,0.286807425,
snoRNA:Psi18S-920,-0.589202325,0.676779563,0.924081844,
CG12007,-0.588968014,0.065495721,0.3321311,
ph-d,-0.587365675,0.185533755,0.532100256,
CG10512,-0.587154148,0.126368039,0.453172856,
CG31373,-0.586862173,0.136213569,0.470306596,
tld,-0.586839847,0.669850074,0.920462846,
snoRNA:Me28S-G764,-0.586839847,0.669850074,0.920462846,
CG34424,-0.58606952,0.119961491,0.450365239,
CG15269,-0.585528062,0.642073892,0.907317796,
Sec24CD,-0.585444672,0.064428047,0.328526687,
CR31032,-0.585399314,0.152575823,0.50025688,1.5fold
bru-3,-0.584655003,0.05371382,0.296545051,
Dif,-0.584417216,0.083140241,0.373330632,
CG34316,-0.584374686,0.360161166,0.676753201,
CG18586,-0.58432702,0.527354329,0.824329897,
CG43163,-0.583662049,0.342098588,0.657780105,
Rsf1,-0.583378932,0.042577765,0.264918218,
CG42853,-0.583366772,0.312080519,0.657780105,
CR44761,-0.582950162,0.261582919,0.626638167,
CG11112,-0.58244377,0.493530726,0.794293017,
CG4019,-0.582208383,0.510330203,0.809666881,
HLH54F,-0.581966988,0.698934385,0.936732751,
CG32454,-0.581853483,0.672176148,0.921521829,
CG11570,-0.581636933,0.677128535,0.924366068,
CG8157,-0.581626349,0.456801173,0.76308047,
Pex3,-0.581558501,0.061360521,0.320057831,
sa,-0.580981087,0.650414992,0.913715519,
CR45046,-0.580980561,0.446821235,0.756744785,
CR45870,-0.580948446,0.30801258,0.657780105,
DAT,-0.580751498,0.349329248,0.665262255,
CG13362,-0.580482738,0.070943979,0.34447812,
CG3999,-0.579756776,0.479445133,0.783109904,
CG7484,-0.578851935,0.13252423,0.4637998,
CG33468,-0.578474314,0.450036002,0.758662889,
CR45562,-0.578324424,0.501976287,0.802085792,
LanB2,-0.578056052,0.049834635,0.286807425,
Pax,-0.577986774,0.109898665,0.428568037,
CG3592,-0.577962869,0.673551982,0.922218895,
CR42738,-0.577962869,0.673551982,0.922218895,
Hel89B,-0.577926917,0.188992199,0.536250468,
CG32816,-0.577899199,0.376513979,0.692587352,
Sap47,-0.577699891,0.029947551,0.220076749,
pix,-0.577074449,0.129027197,0.457433837,
CG4004,-0.575994548,0.121000904,0.451669751,
az2,-0.575790323,0.145527926,0.488628543,
CG15456,-0.575555535,0.217251144,0.563840704,
CG33123,-0.574995054,0.138211921,0.473058025,
wun2,-0.574828775,0.131292457,0.461383379,
CG15390,-0.574703871,0.162856181,0.513772474,
CG10000,-0.574371391,0.34408026,0.659925693,
dpr8,-0.573342229,0.307152902,0.657780105,
CG32066,-0.573149645,0.07307178,0.350218096,
CG3961,-0.572995267,0.269611703,0.637889826,
NijA,-0.572811236,0.262017829,0.627078795,
CG43164,-0.571704514,0.542978554,0.836860672,
CG32165,-0.57158721,0.152734692,0.500436447,
ltl,-0.571504727,0.493219784,0.793967267,
srpk79D,-0.57149104,0.212453366,0.562609602,
CR44111,-0.571304986,0.665135038,0.917435389,
CG30377,-0.570096333,0.202374232,0.554364111,
TotM,-0.569841765,0.495820513,0.796536023,
CG9630,-0.569735175,0.107609094,0.423199333,
Mcm10,-0.56925529,0.117305748,0.444567178,
CG13924,-0.568730894,0.553004932,0.844316981,
CG43320,-0.568558339,0.100709019,0.405572358,
Spn38F,-0.567776916,0.678045458,0.924767472,
CG18675,-0.567771775,0.479805442,0.78340153,
CG1732,-0.5676589,0.485229511,0.787668021,
CG9305,-0.567573339,0.266304064,0.632919972,
bab1,-0.567327347,0.208640721,0.560142965,
JhI-21,-0.567289172,0.168438071,0.522972314,
Jheh3,-0.566603402,0.093410905,0.393947337,
CG14642,-0.566331692,0.246634273,0.607468445,
CG45105,-0.566252403,0.678634332,0.924767472,
kel,-0.565453286,0.081832646,0.36973727,
shrb,-0.564627282,0.057991384,0.31017275,
CG15747,-0.564469246,0.068220829,0.337021407,
CG7024,-0.564286936,0.514289323,0.812630175,
ventrally-expressed-protein-D,-0.563965837,0.142078226,0.481311508,
CG43347,-0.563846056,0.34712457,0.662940459,
CG12498,-0.563235254,0.658056572,0.915724728,
Itp-r83A,-0.562828795,0.123301465,0.451669751,
Rfx,-0.562361472,0.156110406,0.503882506,
CG7506,-0.562335004,0.140926778,0.479085311,
CG12229,-0.561560019,0.670694334,0.920654669,
CG8620,-0.561470284,0.111205267,0.431924761,
VhaM9.7-a,-0.561406899,0.281157212,0.653480351,
CG16888,-0.561148518,0.231350199,0.586252533,
CG13005,-0.561073696,0.299119298,0.657780105,
CG18171,-0.560904586,0.3955949,0.711350864,
CG15270,-0.560642319,0.364488363,0.681224777,
Nek2,-0.560427482,0.484171129,0.787515691,
SP2353,-0.560264895,0.165133781,0.517068758,
CG17360,-0.560030212,0.136643207,0.471145257,
Vha36-3,-0.55997347,0.470719763,0.77449564,
norpA,-0.559344691,0.045973721,0.27503791,
CR43426,-0.558687649,0.451378041,0.758804493,
l(3)76BDm,-0.558626339,0.048004556,0.281339202,
PVRAP,-0.558461082,0.535738137,0.831173117,
Jon25Bii,-0.55845086,0.723071498,0.952717153,
CG9715,-0.55817944,0.037386313,0.247496828,
CG9010,-0.557653676,0.643274864,0.908281051,
CR45898,-0.55759097,0.534210174,0.830178032,
CG11257,-0.557391504,0.12630149,0.453037955,
CG15563,-0.557321691,0.407333096,0.723567213,
CG1640,-0.556804239,0.113944567,0.437997908,
CG42394,-0.556345107,0.330410639,0.657780105,
CG4573,-0.555389369,0.156964234,0.503882506,
CG10341,-0.555232188,0.071633691,0.346376965,
CG34411,-0.555191442,0.316413539,0.657780105,
1-Dec,-0.554697064,0.556367764,0.847685179,
CG42594,-0.554536097,0.358904068,0.675697755,
Faa,-0.554359494,0.347426216,0.663154482,
Cyp12c1,-0.554225321,0.340974304,0.657780105,
CG13585,-0.554155435,0.091472067,0.392023146,
PGRP-LE,-0.554000314,0.179427205,0.532100256,
CR43309,-0.553896815,0.424511197,0.73848228,
5-HT2B,-0.553845416,0.341076524,0.657780105,
Naam,-0.553615969,0.287154758,0.657780105,
Hip1,-0.553525453,0.097164189,0.401180751,
mir-3642,-0.553511955,0.491175351,0.793154547,
CG13884,-0.552317239,0.337764569,0.657780105,
CR43864,-0.552141686,0.381949205,0.698556059,
CG7544,-0.552053482,0.222089255,0.572152169,
DNaseII,-0.551654238,0.376631501,0.69262776,
CR45209,-0.55129945,0.314938166,0.657780105,
CG30096,-0.551250107,0.213433089,0.562609602,
CG14445,-0.550690442,0.39683877,0.712891341,
mol,-0.550364026,0.4046895,0.722468036,
Adk1,-0.550238485,0.13492324,0.467937233,
E(spl)mdelta-HLH,-0.549855928,0.488949883,0.791021501,
CG14694,-0.549799363,0.515614419,0.813754655,
lft,-0.549653361,0.527766451,0.824605612,
CG33145,-0.549311713,0.176767661,0.530502982,
CG34283,-0.549261533,0.643339886,0.908299532,
LanA,-0.549149428,0.049461675,0.285905423,
Lap1,-0.548845947,0.076477012,0.357069659,
CG13188,-0.548733313,0.219887857,0.568312206,
CG34454,-0.548597754,0.585708296,0.870795486,
PDZ-GEF,-0.548508736,0.058824612,0.312685697,
nrv1,-0.548440315,0.128645574,0.456484294,
CG16898,-0.547535903,0.520840865,0.818684886,
ssp3,-0.547507579,0.141488057,0.480153525,
dpr20,-0.547463364,0.52532778,0.82298639,
nrv2,-0.547154166,0.068216972,0.337021407,
CG4949,-0.547133249,0.13298051,0.464427359,
CG9547,-0.546451057,0.064100608,0.327621167,
CG3769,-0.546410796,0.641730043,0.906978461,
CG13955,-0.546298908,0.591502924,0.875540465,
cerv,-0.546190815,0.134887441,0.467937233,
yellow-g,-0.545945335,0.43731094,0.747562125,
CR45982,-0.545652562,0.608556153,0.889576133,
lva,-0.545534792,0.047753169,0.280363517,
pum,-0.544132669,0.056952129,0.306867756,
CG32793,-0.543842807,0.549985469,0.841873433,
CR9162,-0.543628882,0.374701585,0.691519544,
cactin,-0.543261458,0.257483163,0.620512106,
Gp93,-0.542940944,0.160363278,0.508568221,
CG9629,-0.542198461,0.074689862,0.352942876,
betaTub56D,-0.542129925,0.074582318,0.352785849,
snoRNA:Me28S-U2134a,-0.541803948,0.540261016,0.834584452,
SPoCk,-0.541334626,0.094315744,0.395204208,
CG14589,-0.540904585,0.514889836,0.813335197,
CG2641,-0.540307088,0.192589324,0.540411885,
CG32638,-0.540200893,0.165457599,0.517683974,
CG32201,-0.540067506,0.594623879,0.878895601,
kon,-0.539891314,0.33376544,0.657780105,
jeb,-0.539544061,0.118799782,0.447321462,
CG15202,-0.539247076,0.315415875,0.657780105,
CngB,-0.537659055,0.330335384,0.657780105,
Inx5,-0.53754262,0.56874499,0.857973941,
fry,-0.537242608,0.363526757,0.68028374,
CG30046,-0.536936089,0.335611162,0.657780105,
CG33695,-0.536892994,0.150700203,0.496374116,
ERp60,-0.536677663,0.106713242,0.421122429,
CG42708,-0.536438313,0.214781629,0.562609602,
CG3176,-0.536177341,0.290490515,0.657780105,
CG3184,-0.535484249,0.145437685,0.488516442,
CG11983,-0.535049436,0.388624257,0.704429294,
CG18814,-0.534707446,0.660891936,0.91689439,
Rph,-0.534689857,0.107971885,0.424159945,
cyr,-0.53424376,0.438191223,0.748434032,
CG33460,-0.533278326,0.534206443,0.830178032,
Vamp7,-0.533171967,0.061003463,0.319255108,
CG9123,-0.532936011,0.22843852,0.582248573,
l(3)87Df,-0.532883993,0.281525911,0.653962763,
hep,-0.532791714,0.071424868,0.345948754,
CG7523,-0.532613591,0.056084868,0.303785799,
CR44781,-0.532316335,0.254726755,0.618086979,
boi,-0.531695049,0.106622436,0.421049089,
subdued,-0.531585261,0.376099537,0.692419043,
CG3868,-0.531509583,0.132154688,0.463110699,
GstE13,-0.531270858,0.127150004,0.454125704,
CG9801,-0.531120579,0.10685946,0.421319195,
CG7804,-0.531095304,0.733312007,0.958638688,
CG1979,-0.530479721,0.455857263,0.761940321,
CG14618,-0.53047514,0.19149184,0.538781703,
eIF2B-alpha,-0.530454484,0.122359651,0.451669751,
CG43222,-0.53033124,0.099945189,0.404819021,
srl,-0.530244008,0.157474273,0.50415981,
VAChT,-0.529929649,0.567632191,0.857034446,
spz,-0.529215087,0.326599347,0.657780105,
CG6142,-0.529166425,0.471858734,0.775435436,
cd,-0.529127478,0.546131872,0.83879458,
link,-0.528667539,0.366220332,0.68273738,
CR45740,-0.528537594,0.709334358,0.943872331,
CG13771,-0.528451883,0.575220183,0.862386507,
CG18190,-0.527966979,0.263951456,0.629810501,
CG32486,-0.52782764,0.082574907,0.371587969,
CanB,-0.52770917,0.190919943,0.538405321,
CG10185,-0.527697477,0.093457722,0.393947337,
CG7781,-0.527517391,0.211835749,0.562609602,
Cyp28c1,-0.527451425,0.703135009,0.939930926,
CG5805,-0.526846649,0.205116789,0.556211267,
CG9634,-0.526343817,0.420207277,0.734849838,
CG1265,-0.526127857,0.125998168,0.452228187,
CR45467,-0.525401653,0.213388177,0.562609602,
msl-2,-0.525379521,0.191248771,0.538647139,
CR46061,-0.525112607,0.240761068,0.598544327,
trc,-0.524597403,0.092163499,0.39296431,
CG6683,-0.523767356,0.271109829,0.64006229,
CG5590,-0.523670579,0.101991105,0.408852723,
CG8320,-0.523518507,0.095616899,0.397812565,
Cep89,-0.522920371,0.298492536,0.657780105,
CR44982,-0.52286054,0.221496442,0.571213915,
mfrn,-0.522706826,0.249436667,0.611015028,
CG2652,-0.522700557,0.346123028,0.661753053,
CR44147,-0.522443406,0.301414633,0.657780105,
CG17666,-0.522288983,0.530516428,0.827128929,
CG15080,-0.521652207,0.621529943,0.896964204,
CG7091,-0.520794378,0.513135115,0.811647627,
CG13869,-0.520620527,0.478808593,0.782723834,
CR44272,-0.519646271,0.569491042,0.858581012,
Ir93a,-0.519486943,0.387092452,0.702672234,
MED11,-0.519389428,0.082021152,0.37015015,
Oseg6,-0.518716806,0.381712254,0.69834177,
CG31955,-0.518254329,0.07008277,0.342428952,
AP-1sigma,-0.518097382,0.070531035,0.343905157,
ptip,-0.5179197,0.215673152,0.562609602,
CG15861,-0.517618967,0.1953907,0.544950301,
dao,-0.517442789,0.398826343,0.715873638,
CG1578,-0.517171233,0.148468669,0.492922745,
